Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização
16,Masculino,3,8.5,90.4%,Não,0,4125,Rural
17,Feminino,2,7.4,50.3%,Não,0,4598,Urbana
18,Masculino,2,9.1,86.3%,Não,Outros,2369,Urbana
15,Masculino,1,6.5,98.4%,Sim,Problemas Financeiros,2231,Rural
14,Masculino,3,9.7,67.7%,Sim,Problemas Financeiros,4586,Urbana
18,Feminino,2,5.1,83.0%,Não,0,1526,Rural
18,Feminino,1,9.8,65.1%,Não,0,4445,Urbana
19,Feminino,3,5.4,66.7%,Não,Falta de Apoio Escolar,2660,Rural
17,Feminino,3,7.2,93.3%,Não,0,3271,Rural
16,Masculino,1,6.8,50.1%,Sim,0,850,Urbana
17,Masculino,3,8.7,78.5%,Sim,Problemas Financeiros,1758,Urbana
15,Masculino,2,6.4,62.3%,Não,Falta de Apoio Escolar,2513,Urbana
16,Feminino,1,7.4,97.8%,Não,0,1551,Rural
18,Feminino,1,7.5,58.0%,Não,Problemas Familiares,4010,Rural
15,Masculino,3,8.9,68.7%,Sim,0,4254,Urbana
18,Feminino,1,7.7,93.7%,Sim,Falta de Apoio Escolar,2571,Rural
19,Feminino,1,7.9,52.1%,Não,Problemas Financeiros,4227,Rural
16,Feminino,3,9.5,72.0%,Sim,Falta de Apoio Familiar,2069,Rural
14,Feminino,2,7.5,69.6%,Não,Problemas de Saúde,3259,Urbana
16,Feminino,3,9.7,55.0%,Não,0,2451,Urbana
15,Masculino,1,5.3,66.7%,Sim,Problemas de Saúde,3311,Urbana
16,Feminino,1,6.1,57.9%,Não,0,1859,Urbana
18,Masculino,2,7.5,93.7%,Sim,0,3292,Rural
17,Feminino,3,8.7,86.3%,Não,Outros,4724,Rural
19,Feminino,2,5.1,59.2%,Não,0,4407,Urbana
18,Masculino,3,9.2,63.1%,Sim,0,3999,Rural
15,Masculino,3,7.4,85.6%,Sim,Problemas Financeiros,2830,Urbana
17,Feminino,1,9.1,54.2%,Sim,0,805,Rural
16,Feminino,2,7.8,60.4%,Não,0,1113,Rural
19,Masculino,3,9.3,93.9%,Não,Problemas Familiares,3710,Urbana
15,Feminino,3,9.7,60.3%,Não,0,3459,Rural
14,Feminino,2,6.3,97.6%,Sim,Falta de Apoio Familiar,3708,Rural
19,Feminino,2,8.8,92.3%,Não,Falta de Apoio Escolar,1019,Urbana
15,Feminino,2,9.4,83.4%,Sim,Problemas Familiares,1699,Urbana
16,Masculino,3,8.0,73.6%,Sim,0,2616,Urbana
19,Feminino,1,8.5,52.9%,Sim,Outros,2676,Urbana
17,Feminino,3,9.1,69.3%,Sim,0,2924,Rural
16,Feminino,2,5.7,93.6%,Não,Falta de Interesse,4021,Urbana
14,Masculino,1,8.7,74.1%,Não,Falta de Apoio Escolar,2136,Urbana
14,Masculino,3,8.8,86.5%,Sim,Problemas Familiares,1096,Urbana
19,Masculino,2,6.2,55.7%,Sim,0,3629,Rural
14,Feminino,1,6.4,56.5%,Não,Problemas Familiares,2458,Rural
14,Feminino,1,8.2,82.5%,Não,Falta de Interesse,1328,Urbana
14,Feminino,3,5.8,68.1%,Sim,0,1701,Urbana
16,Feminino,1,8.7,59.6%,Sim,Problemas de Saúde,1156,Rural
18,Feminino,2,6.4,51.6%,Não,0,1833,Urbana
18,Feminino,2,9.7,97.4%,Não,Falta de Apoio Escolar,4067,Urbana
18,Feminino,2,6.5,68.8%,Não,0,4848,Rural
14,Masculino,2,8.6,64.9%,Sim,0,3553,Rural
14,Masculino,3,10.0,84.3%,Não,Falta de Apoio Familiar,4070,Urbana
15,Masculino,1,7.5,79.8%,Sim,0,1170,Rural
17,Feminino,1,6.5,67.8%,Sim,Problemas Familiares,1370,Rural
16,Masculino,2,5.1,60.2%,Não,0,1848,Urbana
15,Masculino,2,8.2,57.4%,Não,0,3677,Rural
15,Masculino,1,7.5,78.1%,Não,0,3632,Rural
19,Feminino,3,5.1,88.4%,Sim,0,3394,Rural
18,Feminino,2,7.7,52.7%,Não,0,4962,Urbana
17,Masculino,1,5.3,79.1%,Não,0,4299,Urbana
18,Feminino,1,6.7,56.3%,Não,Falta de Apoio Familiar,2564,Rural
19,Masculino,3,6.7,51.8%,Sim,Falta de Apoio Escolar,1483,Urbana
14,Feminino,2,9.6,95.8%,Sim,0,4561,Urbana
19,Feminino,1,5.5,90.3%,Sim,Problemas Familiares,4640,Rural
16,Feminino,3,9.3,97.3%,Sim,Falta de Interesse,3862,Urbana
18,Feminino,3,5.8,61.4%,Sim,0,2520,Rural
16,Feminino,3,6.0,57.8%,Sim,Outros,2702,Urbana
14,Feminino,2,6.5,95.5%,Sim,Problemas Familiares,3606,Rural
19,Masculino,2,5.4,99.2%,Sim,0,1678,Rural
15,Feminino,1,7.3,63.6%,Não,0,4570,Rural
19,Feminino,2,6.0,78.1%,Sim,0,3572,Rural
17,Feminino,3,6.8,84.2%,Sim,0,4368,Urbana
16,Masculino,1,7.0,94.1%,Não,0,4430,Urbana
18,Feminino,1,9.4,50.2%,Não,Problemas Familiares,4595,Rural
14,Feminino,3,7.3,61.9%,Sim,Falta de Apoio Escolar,4784,Rural
16,Masculino,2,6.4,72.7%,Não,0,1680,Urbana
15,Masculino,1,8.0,83.2%,Sim,0,3320,Rural
19,Masculino,3,7.7,53.8%,Sim,0,4269,Urbana
14,Masculino,3,5.8,87.8%,Sim,Falta de Apoio Escolar,845,Rural
14,Feminino,2,5.8,91.0%,Não,Falta de Apoio Familiar,3199,Rural
14,Masculino,2,5.9,84.9%,Sim,0,3701,Rural
19,Masculino,2,5.0,98.5%,Não,0,4759,Rural
16,Masculino,2,5.3,81.5%,Sim,Problemas Familiares,4193,Urbana
18,Feminino,1,6.9,52.7%,Sim,Problemas Familiares,3971,Urbana
18,Masculino,3,9.6,96.3%,Sim,0,2629,Rural
15,Masculino,1,7.5,95.5%,Sim,Falta de Interesse,2068,Urbana
14,Feminino,3,9.3,76.0%,Sim,0,2994,Rural
17,Feminino,3,8.1,56.8%,Sim,Falta de Interesse,1292,Rural
19,Masculino,1,7.3,72.2%,Sim,0,4769,Rural
16,Feminino,1,7.6,99.3%,Não,0,845,Rural
17,Masculino,3,9.7,79.4%,Sim,Outros,3111,Rural
15,Feminino,2,6.8,62.1%,Sim,0,3635,Urbana
14,Feminino,3,9.7,52.8%,Não,0,2388,Urbana
16,Feminino,3,7.0,59.6%,Não,0,1196,Rural
19,Masculino,2,5.2,93.8%,Não,Falta de Apoio Familiar,1932,Urbana
17,Masculino,1,8.0,69.6%,Sim,Problemas Familiares,2111,Urbana
16,Feminino,2,6.7,95.0%,Não,0,4029,Rural
18,Masculino,1,9.8,85.7%,Sim,Problemas de Saúde,1333,Urbana
15,Masculino,1,9.2,60.6%,Não,0,2308,Urbana
18,Feminino,3,7.0,67.8%,Sim,Falta de Apoio Escolar,2169,Urbana
18,Masculino,1,5.9,70.5%,Não,0,888,Rural
14,Feminino,2,8.4,83.7%,Sim,Problemas de Saúde,4972,Rural
14,Masculino,3,6.6,51.4%,Não,Problemas Familiares,3471,Urbana
18,Feminino,3,8.5,67.7%,Sim,0,4353,Rural
19,Feminino,3,6.4,50.8%,Não,Falta de Apoio Escolar,4106,Rural
16,Masculino,1,9.2,96.3%,Não,0,3688,Urbana
19,Masculino,2,7.2,70.5%,Sim,0,4137,Urbana
19,Feminino,3,5.7,64.8%,Não,Outros,4405,Rural
15,Masculino,3,9.4,92.2%,Sim,0,3653,Rural
18,Masculino,1,9.7,57.9%,Sim,0,2705,Rural
16,Masculino,2,7.1,90.8%,Não,0,3716,Urbana
16,Feminino,3,9.9,66.4%,Não,Falta de Interesse,1459,Urbana
19,Feminino,2,9.9,61.1%,Não,Problemas Familiares,3883,Urbana
16,Feminino,3,5.8,59.4%,Não,0,4610,Rural
15,Feminino,3,9.7,57.0%,Não,Outros,2809,Urbana
15,Feminino,3,9.2,52.6%,Sim,Problemas Familiares,3229,Rural
18,Feminino,3,6.2,60.7%,Sim,Falta de Apoio Escolar,2750,Rural
14,Masculino,1,7.3,92.3%,Não,0,3745,Rural
14,Masculino,2,9.1,76.6%,Sim,0,1023,Rural
15,Masculino,1,9.1,60.5%,Sim,0,1059,Urbana
17,Masculino,3,7.2,69.9%,Sim,0,4579,Rural
17,Feminino,3,5.6,50.5%,Sim,Falta de Interesse,4779,Rural
16,Feminino,2,10.0,70.5%,Sim,0,876,Rural
15,Feminino,2,5.0,59.5%,Sim,Problemas Financeiros,3931,Rural
15,Feminino,2,9.2,82.3%,Não,0,3112,Rural
16,Feminino,3,7.6,83.3%,Não,0,1701,Urbana
16,Feminino,2,6.7,62.2%,Não,0,3361,Urbana
14,Feminino,2,6.3,77.6%,Sim,Outros,3825,Rural
18,Feminino,1,6.7,85.6%,Sim,0,1723,Urbana
19,Masculino,3,9.8,99.8%,Sim,0,898,Urbana
19,Feminino,2,6.8,56.6%,Não,Problemas Familiares,1689,Rural
19,Masculino,1,7.3,58.8%,Sim,0,3203,Rural
16,Masculino,3,6.0,72.8%,Não,Falta de Apoio Familiar,3706,Rural
17,Feminino,1,7.8,51.3%,Sim,Problemas de Saúde,2758,Urbana
19,Masculino,2,8.7,88.7%,Não,0,3198,Rural
18,Masculino,3,6.5,66.0%,Sim,Falta de Apoio Escolar,1262,Urbana
18,Feminino,3,7.0,86.6%,Não,Problemas de Saúde,4377,Urbana
18,Feminino,2,5.4,85.2%,Não,Problemas de Saúde,3792,Rural
14,Feminino,1,8.9,62.2%,Não,Problemas de Saúde,2087,Rural
18,Feminino,2,7.3,93.4%,Sim,0,2716,Rural
18,Masculino,2,5.2,62.9%,Sim,0,4137,Rural
15,Feminino,2,6.1,87.6%,Não,0,4864,Urbana
18,Feminino,3,7.1,62.7%,Sim,0,1916,Rural
18,Masculino,1,5.6,53.7%,Sim,0,2943,Urbana
16,Masculino,1,7.5,51.9%,Sim,0,1044,Rural
17,Feminino,2,6.6,59.5%,Sim,0,1231,Urbana
17,Masculino,2,5.4,63.7%,Não,0,3449,Urbana
14,Masculino,1,6.0,58.1%,Sim,0,2693,Rural
14,Feminino,2,6.5,95.9%,Sim,0,2163,Rural
19,Feminino,2,8.1,57.8%,Sim,Problemas de Saúde,4283,Rural
16,Masculino,3,9.5,78.1%,Sim,0,863,Urbana
18,Masculino,1,5.6,86.3%,Sim,0,2757,Urbana
15,Feminino,1,6.7,87.0%,Não,0,3765,Rural
16,Feminino,3,6.9,60.3%,Sim,0,2347,Rural
15,Feminino,1,6.1,56.5%,Não,0,4441,Urbana
14,Feminino,1,8.9,66.3%,Sim,0,2280,Rural
16,Feminino,1,6.5,59.5%,Sim,0,1012,Rural
17,Feminino,2,8.3,89.8%,Não,Problemas de Saúde,4530,Rural
19,Masculino,1,6.1,88.1%,Sim,0,4486,Rural
16,Masculino,3,8.7,93.2%,Não,Falta de Apoio Escolar,4518,Rural
17,Masculino,1,6.1,55.6%,Não,Falta de Apoio Familiar,1626,Rural
14,Masculino,3,6.4,97.2%,Não,Falta de Interesse,1077,Urbana
15,Masculino,3,7.8,80.7%,Não,0,1085,Rural
19,Masculino,1,9.5,67.6%,Não,0,3599,Urbana
19,Masculino,1,7.4,99.0%,Não,Falta de Apoio Escolar,4608,Rural
19,Feminino,1,9.9,94.2%,Não,Problemas de Saúde,2110,Rural
15,Masculino,2,9.2,56.2%,Não,0,2486,Urbana
16,Feminino,1,7.9,69.1%,Sim,0,3400,Rural
17,Masculino,1,7.1,70.9%,Sim,Falta de Interesse,866,Rural
16,Feminino,1,8.8,67.2%,Não,0,3332,Urbana
19,Feminino,2,6.0,51.1%,Não,0,2571,Rural
15,Feminino,2,5.1,71.4%,Sim,Problemas Financeiros,4595,Rural
15,Feminino,2,5.1,52.1%,Sim,Falta de Apoio Familiar,2140,Rural
15,Feminino,2,7.1,75.5%,Não,Falta de Interesse,4747,Urbana
17,Masculino,1,6.0,88.6%,Sim,0,2718,Rural
19,Masculino,1,7.3,69.4%,Não,0,3244,Urbana
14,Feminino,2,6.7,92.4%,Sim,0,2128,Urbana
19,Feminino,1,5.7,84.4%,Não,Problemas Financeiros,4724,Rural
16,Masculino,1,6.0,82.9%,Não,Falta de Apoio Familiar,2126,Rural
17,Masculino,1,5.9,65.0%,Não,0,4765,Urbana
14,Masculino,2,5.6,83.7%,Sim,Falta de Interesse,878,Urbana
17,Masculino,1,5.6,69.3%,Sim,0,2901,Urbana
14,Masculino,3,7.6,78.4%,Sim,Outros,2717,Rural
14,Masculino,2,7.1,71.5%,Não,0,1821,Urbana
14,Feminino,2,5.1,54.5%,Sim,Falta de Apoio Escolar,1921,Urbana
16,Feminino,3,5.7,63.5%,Não,0,2149,Rural
15,Masculino,3,5.4,99.4%,Não,Falta de Apoio Familiar,3097,Rural
19,Masculino,2,6.4,71.7%,Sim,0,2245,Rural
18,Feminino,1,7.2,64.4%,Sim,Falta de Apoio Escolar,2991,Rural
17,Feminino,3,6.5,78.8%,Não,0,3280,Urbana
14,Masculino,3,7.0,69.9%,Sim,0,1746,Urbana
14,Feminino,3,8.5,70.8%,Não,0,4497,Urbana
18,Feminino,1,5.4,98.7%,Não,Problemas de Saúde,2507,Urbana
17,Masculino,2,9.7,63.8%,Sim,Outros,3738,Rural
14,Feminino,1,5.6,53.1%,Sim,0,4213,Rural
16,Masculino,2,8.0,53.9%,Sim,Outros,3285,Urbana
18,Masculino,3,7.5,86.3%,Não,0,1739,Rural
14,Feminino,1,10.0,98.9%,Sim,Problemas Financeiros,2522,Rural
18,Feminino,3,7.2,66.1%,Sim,0,3694,Urbana
15,Masculino,2,9.8,79.7%,Sim,Problemas Financeiros,3276,Urbana
18,Masculino,1,5.0,77.6%,Sim,0,841,Rural
19,Masculino,2,9.0,68.6%,Sim,0,3026,Urbana
18,Feminino,1,5.6,66.2%,Não,0,3608,Urbana
14,Masculino,3,9.7,52.4%,Não,0,2212,Urbana
15,Masculino,3,8.1,96.9%,Sim,0,3157,Urbana
14,Masculino,3,5.4,86.7%,Sim,0,4465,Urbana
14,Feminino,1,7.5,85.1%,Não,Problemas Familiares,4159,Urbana
14,Feminino,3,6.0,93.7%,Não,Problemas de Saúde,3818,Rural
18,Feminino,3,5.7,54.9%,Não,0,3560,Rural
16,Feminino,1,8.3,70.4%,Sim,0,958,Urbana
14,Feminino,3,5.3,61.9%,Não,Problemas Familiares,4617,Urbana
18,Masculino,3,7.2,85.6%,Sim,0,2557,Urbana
18,Masculino,2,8.0,54.0%,Sim,Falta de Apoio Familiar,2659,Rural
15,Feminino,2,6.6,99.8%,Não,Falta de Apoio Escolar,2573,Rural
17,Masculino,2,6.6,57.6%,Não,0,4631,Urbana
18,Masculino,3,8.5,58.5%,Sim,0,4844,Rural
19,Feminino,1,8.3,67.8%,Sim,Falta de Apoio Escolar,1671,Rural
19,Masculino,2,6.8,77.5%,Sim,Problemas de Saúde,4698,Urbana
17,Feminino,3,7.3,89.8%,Sim,0,1557,Urbana
19,Feminino,2,9.0,85.5%,Não,Falta de Apoio Escolar,1983,Rural
16,Feminino,1,7.7,84.5%,Não,Falta de Apoio Familiar,2800,Rural
17,Feminino,3,6.5,80.4%,Sim,Falta de Apoio Familiar,3648,Rural
15,Masculino,2,6.6,90.2%,Não,0,1562,Urbana
14,Masculino,2,7.4,66.7%,Sim,0,3281,Urbana
16,Feminino,1,6.9,94.1%,Não,0,2082,Urbana
17,Masculino,2,5.3,63.4%,Não,0,3219,Rural
15,Feminino,1,8.6,80.5%,Não,0,2948,Urbana
16,Masculino,3,5.7,88.4%,Não,0,1097,Rural
18,Masculino,3,9.0,93.5%,Sim,0,4766,Rural
19,Masculino,2,8.8,64.4%,Sim,Falta de Interesse,3471,Rural
15,Masculino,1,5.5,58.6%,Sim,Falta de Interesse,4761,Rural
15,Feminino,1,7.1,89.4%,Sim,Falta de Apoio Familiar,4235,Urbana
17,Feminino,2,8.8,51.6%,Não,0,2175,Rural
16,Masculino,3,6.3,69.1%,Sim,0,4544,Rural
19,Feminino,3,9.4,88.2%,Não,Problemas Familiares,2559,Urbana
17,Feminino,2,5.8,58.4%,Não,0,3281,Urbana
18,Masculino,2,5.2,86.9%,Sim,0,2239,Urbana
18,Feminino,3,8.6,55.6%,Não,Outros,3149,Urbana
19,Feminino,2,9.6,95.3%,Não,0,4729,Urbana
15,Masculino,1,7.4,82.0%,Não,Falta de Apoio Familiar,4801,Urbana
17,Masculino,3,7.5,55.0%,Não,0,800,Rural
18,Feminino,1,6.9,69.3%,Sim,0,3119,Rural
14,Masculino,1,7.0,65.8%,Sim,0,3050,Urbana
14,Masculino,1,5.3,73.8%,Não,0,4513,Rural
15,Feminino,1,9.7,96.5%,Sim,Falta de Apoio Escolar,2616,Rural
15,Masculino,1,7.8,80.2%,Sim,0,1612,Urbana
14,Feminino,2,8.0,67.6%,Não,Falta de Apoio Escolar,3226,Urbana
14,Feminino,3,9.1,94.0%,Sim,Problemas Familiares,2824,Urbana
16,Masculino,2,6.6,89.8%,Não,0,1588,Rural
18,Masculino,1,9.4,61.2%,Sim,0,3229,Urbana
16,Masculino,2,8.7,65.0%,Sim,0,4575,Rural
19,Masculino,2,6.8,97.4%,Não,0,2623,Urbana
19,Feminino,1,8.4,66.4%,Não,Falta de Interesse,4870,Urbana
16,Masculino,1,6.7,82.5%,Não,0,4772,Urbana
16,Feminino,3,8.4,65.6%,Não,Problemas de Saúde,942,Rural
17,Masculino,1,8.6,68.0%,Sim,0,1834,Rural
18,Masculino,2,7.4,85.6%,Sim,Falta de Apoio Escolar,2530,Urbana
16,Feminino,3,6.5,82.0%,Não,Falta de Interesse,871,Rural
17,Feminino,2,7.8,95.7%,Não,Falta de Apoio Escolar,3467,Rural
18,Masculino,1,5.4,76.8%,Não,0,4300,Urbana
17,Feminino,2,7.5,77.1%,Não,0,4174,Rural
19,Feminino,3,5.9,60.4%,Não,0,1892,Urbana
14,Masculino,2,5.7,57.9%,Não,Problemas de Saúde,3581,Urbana
16,Feminino,1,7.4,68.5%,Não,Problemas de Saúde,3723,Rural
17,Feminino,3,5.6,95.9%,Não,Falta de Apoio Escolar,4674,Rural
14,Feminino,2,9.0,85.8%,Não,0,2094,Urbana
16,Feminino,2,5.9,63.2%,Sim,Falta de Apoio Familiar,3469,Urbana
17,Feminino,2,8.9,77.3%,Não,Problemas Familiares,2303,Rural
18,Feminino,2,6.4,68.3%,Não,0,1401,Rural
16,Feminino,1,5.9,67.5%,Sim,Falta de Apoio Escolar,4742,Urbana
14,Masculino,2,6.6,81.0%,Não,0,1968,Rural
15,Masculino,2,5.8,81.5%,Não,Falta de Interesse,2081,Rural
15,Feminino,1,8.5,87.1%,Não,0,3940,Urbana
19,Masculino,2,5.2,81.7%,Não,0,2601,Urbana
16,Feminino,2,7.9,53.6%,Sim,Falta de Apoio Escolar,4303,Urbana
16,Feminino,1,8.2,77.2%,Não,0,4386,Urbana
14,Masculino,3,10.0,57.4%,Não,0,4802,Urbana
17,Masculino,3,7.4,68.9%,Sim,0,4115,Rural
18,Feminino,1,9.6,64.4%,Não,0,2070,Rural
19,Feminino,1,8.8,92.7%,Não,0,4315,Urbana
19,Masculino,1,7.3,54.8%,Sim,0,1779,Urbana
16,Feminino,2,8.2,81.1%,Não,Falta de Apoio Escolar,4224,Urbana
18,Masculino,3,9.7,68.4%,Sim,0,1982,Urbana
16,Feminino,1,5.7,71.1%,Sim,Problemas de Saúde,886,Urbana
14,Feminino,2,6.5,69.5%,Sim,0,4949,Rural
15,Feminino,3,9.0,52.2%,Não,Falta de Apoio Escolar,3180,Rural
19,Masculino,1,6.1,72.1%,Sim,0,3891,Urbana
15,Feminino,2,6.0,81.4%,Não,0,2233,Rural
19,Masculino,2,6.5,52.5%,Não,0,3409,Rural
18,Masculino,2,7.6,52.9%,Não,0,2371,Rural
16,Feminino,2,6.0,63.9%,Não,Falta de Interesse,4212,Urbana
17,Feminino,3,6.5,70.4%,Não,0,2579,Urbana
15,Masculino,2,8.0,60.2%,Sim,0,4186,Rural
17,Masculino,3,9.2,89.4%,Não,Falta de Interesse,4934,Urbana
15,Masculino,2,7.1,78.5%,Não,0,2123,Rural
18,Masculino,2,5.3,74.9%,Não,0,3280,Rural
15,Masculino,1,7.1,86.3%,Não,0,2357,Rural
14,Masculino,3,8.3,53.3%,Sim,Outros,968,Rural
16,Masculino,2,8.8,53.1%,Não,0,3139,Urbana
15,Masculino,2,7.1,91.5%,Sim,0,3768,Rural
18,Feminino,1,9.7,61.8%,Não,0,1617,Rural
17,Feminino,3,9.4,91.1%,Não,0,1236,Rural
14,Feminino,3,8.9,64.8%,Não,0,1072,Urbana
18,Feminino,1,7.9,51.0%,Não,0,2727,Urbana
19,Masculino,3,9.7,99.7%,Sim,0,3956,Urbana
19,Masculino,1,5.8,51.5%,Não,Problemas de Saúde,3938,Urbana
15,Masculino,1,5.3,75.0%,Sim,Problemas de Saúde,3427,Urbana
14,Masculino,1,6.0,66.3%,Não,0,2800,Urbana
18,Masculino,3,6.9,80.8%,Não,0,1935,Urbana
18,Masculino,3,6.3,90.8%,Sim,0,4987,Urbana
18,Feminino,3,7.6,95.4%,Não,0,3750,Urbana
19,Feminino,3,5.4,67.3%,Não,Falta de Apoio Familiar,1740,Urbana
15,Masculino,1,9.5,70.0%,Não,0,1251,Rural
16,Masculino,1,8.4,79.1%,Não,Problemas de Saúde,2700,Urbana
18,Masculino,1,9.5,69.6%,Não,0,4078,Rural
19,Masculino,2,8.9,82.7%,Não,0,4270,Urbana
17,Masculino,3,9.8,85.2%,Não,Problemas de Saúde,4938,Rural
15,Feminino,2,6.9,53.9%,Sim,0,4434,Urbana
19,Masculino,3,5.5,70.2%,Não,Problemas de Saúde,4350,Rural
15,Masculino,1,8.5,99.6%,Não,0,1838,Urbana
15,Feminino,1,7.5,59.8%,Não,0,893,Urbana
19,Masculino,2,8.0,50.9%,Não,Problemas Familiares,4337,Urbana
17,Feminino,1,8.6,87.4%,Não,Falta de Apoio Escolar,4431,Rural
15,Masculino,1,9.9,90.0%,Sim,Problemas de Saúde,1943,Rural
17,Feminino,1,7.0,78.0%,Não,0,2785,Rural
15,Masculino,2,8.9,52.6%,Sim,Falta de Apoio Escolar,2675,Urbana
14,Feminino,1,8.1,76.8%,Sim,0,1272,Rural
16,Feminino,1,8.5,88.1%,Sim,0,3715,Rural
14,Masculino,2,9.9,88.1%,Não,0,4251,Urbana
16,Feminino,3,9.0,50.2%,Não,Problemas Financeiros,2474,Rural
16,Masculino,2,6.9,98.2%,Não,0,4499,Rural
15,Masculino,1,7.0,67.1%,Não,0,4257,Urbana
14,Feminino,2,9.5,87.9%,Não,Falta de Apoio Escolar,2131,Rural
19,Masculino,2,9.6,67.4%,Não,Problemas de Saúde,1649,Rural
18,Masculino,3,8.3,93.6%,Não,Outros,4259,Rural
15,Feminino,1,5.4,60.6%,Sim,Falta de Apoio Escolar,1133,Rural
17,Feminino,3,6.7,62.4%,Sim,Problemas de Saúde,1524,Urbana
15,Masculino,1,8.5,98.0%,Não,0,2443,Urbana
19,Masculino,2,10.0,52.0%,Sim,Outros,1902,Rural
15,Masculino,3,7.5,50.2%,Sim,Problemas Familiares,837,Urbana
18,Masculino,3,6.8,76.4%,Sim,Outros,2203,Rural
15,Feminino,1,7.7,81.3%,Sim,0,3796,Rural
17,Masculino,1,9.3,89.2%,Não,0,2076,Rural
14,Masculino,2,6.4,68.4%,Sim,0,2808,Rural
17,Masculino,1,9.4,51.8%,Sim,Falta de Apoio Familiar,3480,Urbana
15,Masculino,3,7.5,93.8%,Sim,0,2744,Urbana
19,Feminino,3,7.8,78.5%,Sim,Falta de Apoio Escolar,4057,Urbana
18,Masculino,2,9.1,90.1%,Sim,0,2856,Rural
17,Feminino,3,5.8,98.6%,Não,Outros,4823,Rural
19,Masculino,2,6.1,94.5%,Sim,0,4428,Rural
16,Masculino,1,6.0,56.0%,Sim,0,3260,Urbana
17,Masculino,1,5.9,81.6%,Não,0,2716,Urbana
17,Feminino,3,9.6,66.0%,Não,Problemas Financeiros,1360,Urbana
15,Masculino,1,6.8,76.8%,Sim,Problemas de Saúde,3122,Urbana
16,Feminino,1,6.9,65.7%,Sim,Problemas Familiares,2167,Urbana
17,Masculino,1,5.6,75.6%,Não,0,3148,Urbana
19,Feminino,1,8.4,56.4%,Não,Problemas Familiares,1028,Urbana
17,Masculino,1,8.9,69.5%,Não,0,1058,Rural
17,Masculino,1,6.8,83.3%,Não,0,841,Urbana
17,Feminino,1,8.1,66.2%,Sim,Falta de Interesse,1882,Rural
19,Masculino,2,6.9,97.7%,Não,Outros,2900,Rural
14,Masculino,1,6.8,97.5%,Sim,0,963,Urbana
16,Masculino,1,7.0,82.6%,Não,0,4621,Rural
18,Masculino,2,9.8,94.1%,Não,Falta de Apoio Escolar,4175,Urbana
14,Feminino,1,5.7,97.3%,Não,0,2320,Rural
15,Feminino,3,7.7,68.3%,Não,0,1808,Rural
18,Feminino,2,8.2,51.1%,Sim,0,4088,Rural
19,Masculino,1,7.6,72.2%,Sim,Falta de Apoio Familiar,4498,Rural
18,Feminino,1,7.9,93.7%,Sim,Problemas de Saúde,909,Urbana
17,Masculino,3,9.6,79.0%,Sim,0,4176,Urbana
19,Feminino,3,7.0,58.7%,Não,0,2155,Urbana
17,Feminino,2,9.8,89.1%,Não,0,2404,Rural
17,Masculino,1,9.9,56.3%,Sim,0,1081,Rural
19,Feminino,1,7.8,89.4%,Não,Outros,4784,Rural
16,Masculino,1,5.2,77.8%,Não,Problemas Financeiros,2995,Rural
14,Feminino,2,6.3,83.6%,Não,Falta de Interesse,2113,Rural
14,Feminino,3,9.4,61.2%,Não,Problemas de Saúde,2126,Urbana
18,Masculino,1,7.3,68.5%,Não,0,4457,Urbana
15,Masculino,2,6.0,56.0%,Sim,0,1518,Urbana
15,Feminino,1,5.5,70.3%,Sim,Falta de Apoio Familiar,3253,Rural
15,Feminino,3,7.0,61.9%,Sim,0,1633,Rural
18,Feminino,1,9.6,61.8%,Sim,0,2288,Urbana
14,Feminino,3,9.2,59.1%,Não,Falta de Apoio Familiar,2040,Rural
16,Feminino,3,8.6,67.5%,Não,0,4092,Urbana
15,Feminino,2,8.4,76.8%,Não,0,4628,Urbana
15,Masculino,3,5.9,98.2%,Não,0,1997,Urbana
19,Feminino,3,8.0,85.4%,Sim,0,3580,Urbana
18,Masculino,3,6.1,99.1%,Não,Outros,4985,Urbana
15,Feminino,1,5.2,55.5%,Não,0,1648,Urbana
16,Feminino,1,9.0,53.5%,Não,Outros,3981,Rural
14,Feminino,1,5.4,67.2%,Sim,0,3665,Rural
16,Feminino,2,7.0,75.6%,Sim,Problemas Financeiros,1192,Urbana
18,Masculino,2,8.7,85.7%,Não,0,4137,Urbana
17,Feminino,3,9.8,92.4%,Sim,0,3734,Urbana
16,Feminino,3,8.0,78.5%,Sim,Problemas Financeiros,2919,Urbana
14,Feminino,1,6.0,68.2%,Não,0,4896,Rural
18,Masculino,3,7.2,76.5%,Sim,0,3491,Rural
19,Masculino,2,6.5,61.7%,Sim,0,1005,Rural
15,Masculino,3,7.6,57.3%,Sim,0,1801,Urbana
14,Masculino,2,5.4,54.1%,Não,0,2054,Rural
19,Feminino,1,7.6,86.9%,Sim,0,3960,Urbana
15,Masculino,2,7.0,79.7%,Não,0,2241,Urbana
17,Feminino,2,6.5,88.8%,Não,Falta de Apoio Familiar,2403,Rural
18,Masculino,1,5.7,67.4%,Não,0,1313,Rural
18,Masculino,1,9.7,69.4%,Não,0,3011,Urbana
19,Feminino,1,5.7,51.4%,Sim,0,2782,Urbana
17,Feminino,3,6.0,80.0%,Sim,0,3110,Rural
16,Feminino,2,9.4,53.4%,Sim,Falta de Apoio Familiar,1459,Urbana
