Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização,Evasao
17,Masculino,2,6.2,90%,Sim,0,980,Urbana,0
16,Feminino,1,4.5,90%,Sim,0,2912,Urbana,0
17,Feminino,1,4.8,70%,Não,Falta de Apoio Familiar,1758,Rural,1
17,Feminino,1,6.2,60%,Não,0,2595,Rural,0
18,Masculino,2,8.6,85%,Não,Falta de Apoio Familiar,1581,Urbana,1
17,Masculino,3,7.2,90%,Sim,Falta de Interesse,1585,Urbana,1
15,Masculino,2,8.8,75%,Não,0,2178,Rural,1
18,Feminino,1,9.5,75%,Não,Problemas de Saúde,928,Rural,1
15,Masculino,1,5.2,90%,Sim,0,2571,Rural,0
16,Masculino,3,8.7,85%,Sim,0,1132,Urbana,0
16,Feminino,2,7.8,50%,Sim,Falta de Interesse,1816,Urbana,1
18,Feminino,2,6.2,95%,Não,0,2156,Urbana,0
16,Masculino,1,4.3,85%,Sim,0,2521,Rural,1
16,Masculino,1,7.7,60%,Sim,Falta de Interesse,1384,Urbana,1
16,Feminino,2,6.0,85%,Sim,0,2765,Urbana,1
16,Masculino,2,5.9,50%,Não,Falta de Interesse,1769,Urbana,1
15,Masculino,3,4.5,75%,Não,Falta de Apoio Familiar,852,Urbana,1
15,Masculino,3,9.1,95%,Não,0,2224,Rural,0
16,Feminino,3,7.5,90%,Não,0,1003,Urbana,0
16,Feminino,3,4.7,80%,Não,0,910,Urbana,1
15,Feminino,3,6.8,90%,Não,Problemas de Saúde,597,Urbana,1
16,Feminino,2,9.5,85%,Não,0,2240,Urbana,1
18,Feminino,2,4.4,60%,Não,0,1904,Rural,1
17,Feminino,1,5.3,50%,Não,Falta de Apoio Escolar,2825,Urbana,1
18,Masculino,3,8.1,60%,Não,0,2282,Urbana,0
17,Masculino,1,7.0,75%,Não,0,2016,Rural,1
18,Feminino,3,8.7,85%,Não,0,1565,Urbana,1
16,Masculino,2,6.8,75%,Não,0,1079,Urbana,1
16,Masculino,2,5.9,85%,Sim,Outros,1873,Rural,1
17,Feminino,1,10.0,60%,Não,Falta de Interesse,2737,Rural,1
18,Feminino,2,5.6,85%,Não,Falta de Apoio Familiar,1763,Urbana,1
16,Masculino,1,4.1,60%,Não,0,1182,Urbana,0
18,Feminino,1,6.4,60%,Não,Falta de Apoio Escolar,2480,Urbana,1
15,Feminino,3,5.5,70%,Não,0,2149,Urbana,1
17,Feminino,3,9.7,70%,Não,0,1754,Rural,0
16,Masculino,1,4.2,60%,Não,Falta de Apoio Familiar,2968,Urbana,1
18,Feminino,2,5.1,50%,Não,Falta de Apoio Escolar,586,Rural,1
17,Masculino,3,8.6,75%,Não,Falta de Interesse,2230,Rural,1
18,Feminino,3,6.1,75%,Sim,Problemas Familiares,2474,Rural,1
18,Feminino,2,5.1,80%,Sim,0,2482,Rural,0
15,Feminino,1,7.4,60%,Não,Problemas de Saúde,2777,Rural,1
17,Feminino,3,7.9,75%,Sim,0,2652,Rural,0
17,Feminino,2,5.0,85%,Sim,0,1610,Rural,0
17,Masculino,2,7.5,70%,Sim,0,1721,Urbana,0
18,Masculino,3,7.5,95%,Não,0,2209,Rural,0
16,Masculino,3,6.2,85%,Não,Problemas Familiares,1769,Urbana,1
15,Feminino,2,8.8,60%,Sim,0,2862,Urbana,1
18,Feminino,1,7.5,50%,Sim,Problemas Financeiros,2037,Rural,1
16,Feminino,3,4.9,75%,Sim,0,2076,Urbana,1
17,Masculino,1,4.6,75%,Sim,Falta de Apoio Familiar,1867,Rural,1
17,Feminino,3,5.7,85%,Sim,Falta de Apoio Familiar,875,Rural,1
15,Masculino,3,7.4,50%,Não,Problemas de Saúde,2406,Urbana,1
18,Feminino,2,4.5,70%,Sim,0,2795,Urbana,0
17,Feminino,3,6.6,70%,Não,0,2306,Urbana,1
15,Feminino,2,4.5,60%,Sim,Falta de Interesse,2944,Rural,1
15,Feminino,3,4.3,80%,Não,Falta de Apoio Familiar,584,Rural,1
17,Masculino,1,7.7,85%,Sim,Falta de Interesse,2137,Rural,1
16,Masculino,1,6.4,80%,Sim,0,1199,Rural,0
18,Masculino,1,8.9,85%,Não,Problemas de Saúde,639,Rural,1
18,Feminino,1,7.7,75%,Sim,0,1600,Rural,0
17,Masculino,2,8.3,50%,Sim,0,2999,Rural,0
16,Feminino,1,4.9,60%,Sim,Problemas Familiares,1738,Rural,1
15,Feminino,1,4.3,85%,Sim,0,2242,Rural,1
15,Masculino,3,8.3,75%,Sim,Problemas Familiares,700,Urbana,1
15,Feminino,2,6.0,95%,Sim,0,1832,Urbana,0
15,Masculino,2,4.2,85%,Sim,Problemas Familiares,1733,Urbana,1
16,Feminino,1,4.8,80%,Sim,Falta de Interesse,770,Rural,1
18,Feminino,3,4.1,60%,Sim,0,2398,Rural,0
17,Feminino,3,9.8,75%,Não,0,907,Rural,0
15,Feminino,2,5.0,75%,Sim,0,2317,Urbana,0
15,Feminino,3,6.2,50%,Não,0,2144,Urbana,1
18,Feminino,3,9.9,90%,Sim,0,1600,Rural,0
16,Feminino,1,9.4,60%,Não,Problemas Financeiros,1334,Rural,1
16,Feminino,1,8.0,50%,Não,0,2956,Rural,1
15,Masculino,3,5.6,95%,Não,Falta de Apoio Escolar,1625,Urbana,1
15,Masculino,2,8.7,90%,Não,Outros,2802,Urbana,1
17,Feminino,2,6.1,90%,Não,Problemas de Saúde,1181,Rural,1
15,Feminino,1,5.6,90%,Sim,0,2310,Rural,1
17,Masculino,2,5.2,60%,Sim,Falta de Interesse,1124,Urbana,1
17,Feminino,3,6.5,85%,Sim,0,2679,Urbana,1
17,Feminino,1,8.6,75%,Sim,Outros,2374,Rural,1
17,Feminino,3,8.0,70%,Sim,Problemas Familiares,2893,Urbana,1
18,Feminino,2,5.7,70%,Não,0,1246,Rural,0
16,Masculino,2,7.6,90%,Não,Falta de Apoio Familiar,814,Rural,1
16,Masculino,2,4.2,85%,Não,0,1685,Urbana,0
16,Masculino,2,8.9,80%,Sim,0,2939,Rural,0
17,Feminino,3,8.9,50%,Não,0,2122,Urbana,0
17,Feminino,1,4.7,95%,Não,0,1992,Rural,0
15,Feminino,2,6.6,50%,Não,Problemas de Saúde,685,Rural,1
18,Masculino,2,5.7,50%,Não,Falta de Apoio Familiar,1723,Rural,1
18,Masculino,2,8.4,90%,Sim,Falta de Interesse,1016,Rural,1
15,Masculino,1,7.7,80%,Não,0,615,Rural,1
18,Feminino,2,5.6,95%,Não,0,1128,Rural,1
16,Masculino,3,7.1,75%,Sim,0,1223,Rural,0
15,Feminino,1,5.3,70%,Não,0,1942,Urbana,0
17,Masculino,1,4.1,60%,Sim,0,1276,Urbana,0
17,Feminino,2,6.9,70%,Sim,Falta de Apoio Escolar,770,Urbana,1
15,Feminino,1,7.1,75%,Não,Problemas Financeiros,987,Rural,1
17,Feminino,2,9.5,80%,Não,0,1185,Urbana,1
17,Masculino,2,7.3,70%,Sim,Problemas Financeiros,2411,Rural,1
16,Feminino,2,7.7,50%,Não,Falta de Apoio Familiar,869,Rural,1
15,Feminino,2,4.3,70%,Não,Outros,2321,Urbana,1
18,Masculino,1,4.6,75%,Sim,Problemas Financeiros,704,Urbana,1
15,Feminino,1,9.9,95%,Não,0,2608,Rural,1
17,Masculino,3,5.4,85%,Sim,Falta de Apoio Familiar,595,Rural,1
16,Masculino,3,9.6,80%,Não,0,1790,Urbana,1
16,Masculino,2,5.7,85%,Não,Problemas de Saúde,818,Urbana,1
15,Masculino,1,5.8,85%,Não,Falta de Interesse,1309,Rural,1
16,Masculino,3,4.6,80%,Não,0,889,Urbana,1
18,Masculino,1,5.7,60%,Não,Problemas Familiares,1805,Urbana,1
17,Masculino,2,9.3,70%,Não,0,2776,Urbana,0
15,Masculino,2,6.1,70%,Sim,Problemas de Saúde,2056,Rural,1
16,Masculino,3,5.7,95%,Sim,Falta de Apoio Escolar,1537,Urbana,1
15,Masculino,3,9.4,70%,Sim,Falta de Interesse,2966,Urbana,1
15,Feminino,2,9.9,75%,Sim,Problemas de Saúde,2937,Rural,1
16,Masculino,2,4.9,50%,Não,Falta de Apoio Escolar,995,Rural,1
17,Feminino,2,6.6,85%,Não,0,1467,Urbana,1
15,Masculino,1,9.9,60%,Sim,0,1854,Rural,1
15,Masculino,2,9.8,50%,Sim,0,2834,Rural,1
17,Masculino,2,6.3,85%,Não,Falta de Apoio Escolar,2897,Rural,1
18,Masculino,1,7.7,95%,Sim,0,2752,Urbana,0
18,Feminino,3,5.1,95%,Não,0,997,Urbana,1
18,Masculino,2,9.3,60%,Sim,0,1535,Rural,0
15,Feminino,2,4.1,95%,Não,0,1683,Urbana,1
17,Masculino,2,7.6,75%,Não,Outros,1901,Urbana,1
18,Masculino,2,7.1,90%,Sim,Problemas Financeiros,1693,Rural,1
17,Masculino,3,5.5,85%,Não,Falta de Apoio Escolar,2146,Rural,1
15,Masculino,2,5.0,85%,Não,Outros,1762,Rural,1
18,Feminino,1,9.3,90%,Sim,0,917,Urbana,0
16,Feminino,2,7.2,95%,Sim,0,1346,Urbana,0
18,Feminino,3,8.5,90%,Sim,Falta de Interesse,1180,Urbana,1
18,Masculino,2,9.0,85%,Não,Problemas Familiares,2468,Rural,1
17,Feminino,1,4.4,75%,Sim,Problemas Familiares,681,Rural,1
15,Feminino,3,4.1,50%,Sim,0,591,Urbana,1
16,Masculino,2,5.3,85%,Sim,Falta de Apoio Escolar,2739,Urbana,1
18,Feminino,2,9.1,70%,Sim,Problemas de Saúde,2876,Urbana,1
17,Masculino,1,4.4,80%,Não,0,2727,Urbana,0
18,Feminino,3,5.8,75%,Não,Problemas de Saúde,517,Rural,1
15,Feminino,1,6.2,75%,Sim,Problemas Financeiros,2793,Urbana,1
15,Masculino,3,9.7,60%,Sim,0,1696,Rural,1
17,Feminino,2,7.2,85%,Sim,Outros,583,Urbana,1
15,Masculino,2,6.8,80%,Sim,Problemas Familiares,2506,Urbana,1
18,Feminino,2,6.3,75%,Não,Outros,643,Rural,1
18,Feminino,2,9.9,80%,Não,0,1935,Rural,1
17,Masculino,3,4.1,95%,Não,Problemas Financeiros,1938,Rural,1
18,Masculino,3,9.9,85%,Não,0,975,Rural,1
16,Feminino,2,7.2,85%,Sim,Problemas Familiares,950,Rural,1
17,Feminino,1,6.8,80%,Sim,0,1614,Urbana,0
16,Feminino,3,8.6,95%,Não,Problemas Familiares,2135,Rural,1
18,Masculino,2,7.2,90%,Não,0,2458,Urbana,0
18,Masculino,2,7.9,60%,Sim,0,1755,Urbana,1
17,Masculino,1,6.1,70%,Sim,0,942,Rural,1
16,Feminino,1,9.5,75%,Sim,0,1116,Rural,1
16,Masculino,1,5.3,50%,Não,0,1357,Urbana,1
15,Feminino,2,7.9,70%,Não,0,2944,Rural,0
18,Feminino,3,7.8,60%,Sim,0,2474,Rural,0
17,Feminino,2,5.8,50%,Não,0,2541,Urbana,0
18,Feminino,1,4.7,95%,Não,Falta de Apoio Escolar,1529,Urbana,1
16,Masculino,2,8.7,70%,Sim,Falta de Apoio Familiar,2189,Rural,1
16,Masculino,2,6.1,80%,Sim,0,1441,Rural,0
17,Masculino,3,5.5,90%,Não,0,902,Rural,0
15,Masculino,1,8.7,85%,Sim,0,1036,Rural,1
18,Masculino,3,6.4,70%,Não,0,2147,Urbana,1
16,Feminino,2,8.5,75%,Não,Falta de Apoio Familiar,2048,Rural,1
16,Masculino,1,9.3,60%,Não,0,2439,Urbana,1
16,Feminino,1,7.2,90%,Sim,Problemas Financeiros,1272,Rural,1
18,Feminino,2,4.2,50%,Sim,Falta de Apoio Escolar,643,Rural,1
16,Masculino,3,9.5,60%,Não,Falta de Interesse,2019,Urbana,1
15,Feminino,3,5.5,90%,Sim,0,2508,Rural,0
15,Feminino,3,8.4,70%,Sim,Falta de Interesse,1373,Rural,1
15,Feminino,2,7.1,85%,Sim,Falta de Apoio Escolar,864,Rural,1
15,Feminino,3,5.9,80%,Não,Falta de Apoio Familiar,1990,Urbana,1
16,Feminino,1,6.7,60%,Sim,0,1057,Rural,1
16,Masculino,2,6.7,50%,Sim,Falta de Apoio Familiar,2806,Rural,1
15,Masculino,3,9.7,95%,Sim,0,1324,Rural,0
17,Masculino,1,4.8,85%,Não,Problemas de Saúde,738,Rural,1
18,Masculino,3,5.6,70%,Sim,0,618,Urbana,1
18,Masculino,2,8.6,95%,Não,Falta de Apoio Escolar,970,Rural,1
15,Feminino,3,4.2,75%,Não,Falta de Apoio Escolar,2978,Urbana,1
17,Feminino,1,4.1,85%,Sim,0,2181,Rural,1
16,Masculino,1,5.7,50%,Sim,Problemas de Saúde,1456,Urbana,1
17,Masculino,2,7.6,95%,Sim,0,2459,Rural,1
17,Feminino,1,9.9,85%,Sim,0,855,Rural,1
16,Feminino,1,7.6,75%,Sim,0,1361,Urbana,0
16,Masculino,2,7.5,50%,Sim,0,2274,Urbana,1
15,Masculino,3,4.6,70%,Não,0,2928,Rural,0
15,Feminino,1,4.4,90%,Sim,Falta de Apoio Escolar,2018,Urbana,1
18,Feminino,2,5.6,80%,Não,0,2047,Urbana,1
16,Feminino,3,9.1,90%,Não,0,731,Urbana,1
15,Masculino,2,6.7,50%,Não,Problemas Financeiros,1873,Rural,1
17,Masculino,2,8.4,60%,Sim,Problemas de Saúde,699,Rural,1
18,Feminino,2,9.7,80%,Não,Falta de Interesse,539,Urbana,1
17,Masculino,2,4.3,90%,Não,0,2218,Rural,0
15,Feminino,2,7.7,90%,Não,0,2498,Urbana,0
15,Feminino,2,8.1,75%,Não,0,1724,Urbana,1
18,Masculino,2,7.3,90%,Sim,Falta de Interesse,2472,Urbana,1
16,Masculino,1,6.4,80%,Não,0,1077,Urbana,0
16,Feminino,2,4.2,90%,Sim,0,2780,Urbana,1
18,Masculino,2,9.7,75%,Não,0,2174,Rural,0
17,Feminino,1,5.1,85%,Sim,Outros,2074,Urbana,1
17,Feminino,1,5.2,70%,Não,0,1102,Urbana,1
17,Feminino,1,8.9,85%,Não,Problemas Familiares,1992,Rural,1
18,Feminino,2,6.2,75%,Não,Falta de Interesse,1537,Urbana,1
16,Feminino,2,9.6,70%,Sim,0,2949,Urbana,1
17,Masculino,1,6.6,60%,Não,Problemas Financeiros,2105,Rural,1
17,Masculino,1,6.0,50%,Sim,Problemas de Saúde,2659,Urbana,1
18,Feminino,2,7.3,90%,Sim,Falta de Apoio Escolar,2036,Rural,1
16,Feminino,2,6.2,80%,Não,0,2922,Urbana,0
15,Feminino,3,6.1,85%,Não,Falta de Apoio Escolar,1362,Urbana,1
17,Masculino,3,5.7,85%,Não,0,1698,Rural,0
17,Masculino,3,5.0,75%,Sim,Problemas Financeiros,2446,Urbana,1
15,Feminino,1,7.2,95%,Sim,Falta de Interesse,2719,Rural,1
16,Masculino,3,9.5,75%,Não,0,872,Urbana,1
17,Masculino,3,4.4,95%,Não,Falta de Apoio Escolar,960,Urbana,1
15,Feminino,2,6.0,80%,Sim,Problemas de Saúde,1026,Urbana,1
16,Feminino,3,9.1,60%,Sim,Outros,1286,Urbana,1
18,Masculino,1,4.4,70%,Não,0,895,Urbana,1
17,Feminino,3,9.1,80%,Sim,0,2379,Urbana,0
18,Masculino,3,9.3,80%,Não,0,1716,Rural,1
16,Masculino,1,4.3,70%,Sim,0,800,Urbana,1
18,Feminino,3,6.1,50%,Sim,0,1381,Urbana,0
17,Masculino,2,4.6,90%,Sim,Problemas de Saúde,1067,Urbana,1
17,Feminino,3,9.1,95%,Não,Falta de Apoio Escolar,1795,Rural,1
17,Masculino,3,7.4,60%,Sim,Problemas Financeiros,870,Rural,1
15,Feminino,2,9.0,70%,Sim,Falta de Apoio Escolar,2142,Rural,1
16,Feminino,1,5.1,95%,Sim,0,806,Rural,1
17,Feminino,3,9.0,75%,Não,Falta de Apoio Escolar,1808,Rural,1
15,Feminino,2,9.2,85%,Não,0,2847,Rural,0
15,Masculino,2,5.0,95%,Não,Problemas Financeiros,2635,Urbana,1
16,Feminino,2,7.6,85%,Sim,0,1776,Urbana,1
17,Masculino,2,5.0,60%,Não,Outros,1732,Urbana,1
16,Masculino,2,9.1,50%,Sim,Falta de Apoio Escolar,982,Rural,1
16,Feminino,2,4.0,70%,Não,Falta de Interesse,2533,Urbana,1
17,Masculino,2,9.3,75%,Não,0,1117,Rural,1
15,Feminino,1,4.3,60%,Não,Falta de Interesse,2093,Rural,1
17,Feminino,2,8.3,70%,Sim,0,2777,Urbana,0
17,Feminino,2,4.1,80%,Não,Problemas de Saúde,2285,Urbana,1
17,Feminino,2,8.7,75%,Não,0,1924,Rural,1
18,Feminino,3,7.0,50%,Sim,0,2669,Urbana,1
15,Masculino,3,6.1,75%,Sim,0,1906,Urbana,0
15,Masculino,3,9.1,95%,Sim,0,1772,Urbana,1
16,Feminino,3,8.8,50%,Não,Problemas Familiares,1915,Rural,1
16,Feminino,1,8.1,80%,Não,0,1934,Rural,0
16,Masculino,3,4.2,95%,Não,Falta de Interesse,1636,Rural,1
17,Masculino,1,9.2,60%,Não,Falta de Apoio Familiar,1122,Urbana,1
18,Masculino,3,4.9,70%,Sim,Falta de Apoio Familiar,1521,Urbana,1
18,Masculino,2,4.7,85%,Não,0,2212,Urbana,0
16,Masculino,1,8.4,75%,Sim,0,1213,Rural,1
16,Feminino,1,8.8,95%,Não,0,2322,Rural,0
17,Feminino,3,7.2,75%,Sim,0,687,Rural,0
16,Masculino,3,7.3,95%,Não,0,2985,Urbana,1
17,Masculino,1,5.6,85%,Sim,0,1681,Urbana,1
18,Feminino,2,4.3,50%,Não,Falta de Apoio Familiar,722,Urbana,1
17,Feminino,2,7.9,50%,Sim,Falta de Interesse,2062,Urbana,1
18,Feminino,3,9.0,60%,Não,0,2931,Urbana,1
16,Masculino,2,6.8,50%,Sim,0,2570,Rural,0
18,Masculino,1,4.3,80%,Não,Problemas de Saúde,2363,Urbana,1
18,Feminino,3,5.2,80%,Não,0,2138,Urbana,0
18,Masculino,1,8.1,80%,Não,0,1014,Urbana,1
18,Masculino,2,6.7,50%,Não,0,1255,Rural,0
18,Feminino,3,5.9,60%,Sim,0,1426,Urbana,1
18,Feminino,1,8.2,90%,Não,Falta de Apoio Escolar,2799,Rural,1
15,Masculino,2,5.7,85%,Sim,0,2791,Rural,1
18,Masculino,2,7.3,85%,Sim,Problemas de Saúde,2595,Rural,1
15,Masculino,2,7.6,95%,Sim,0,523,Rural,0
18,Masculino,3,7.2,95%,Sim,Problemas Financeiros,2623,Rural,1
17,Feminino,2,5.6,70%,Sim,0,726,Urbana,1
18,Masculino,2,5.5,60%,Não,0,1937,Rural,1
17,Feminino,1,10.0,50%,Sim,Problemas Familiares,1316,Rural,1
15,Masculino,3,8.9,85%,Não,Falta de Interesse,2455,Urbana,1
17,Masculino,1,7.7,85%,Sim,Problemas Familiares,1690,Rural,1
17,Feminino,2,6.8,50%,Não,Problemas Familiares,649,Rural,1
16,Masculino,3,6.1,85%,Sim,0,505,Rural,1
18,Masculino,1,8.9,95%,Sim,Problemas de Saúde,1064,Rural,1
15,Feminino,1,4.5,75%,Sim,0,1615,Rural,1
18,Feminino,3,9.2,90%,Sim,Falta de Apoio Familiar,719,Rural,1
15,Feminino,2,8.6,70%,Não,Outros,2071,Urbana,1
16,Feminino,1,4.9,95%,Sim,Falta de Interesse,1317,Urbana,1
18,Masculino,2,7.6,75%,Sim,0,2923,Urbana,0
17,Masculino,3,6.1,50%,Sim,0,1752,Rural,0
18,Masculino,2,5.7,90%,Não,Problemas Financeiros,1594,Urbana,1
15,Feminino,2,4.9,70%,Sim,Falta de Apoio Familiar,1844,Rural,1
15,Masculino,1,7.1,60%,Sim,0,1848,Urbana,1
18,Feminino,2,5.0,60%,Sim,Falta de Apoio Familiar,2310,Rural,1
18,Feminino,2,8.7,75%,Não,0,2774,Urbana,0
16,Masculino,2,6.6,75%,Não,Falta de Apoio Escolar,2522,Urbana,1
15,Feminino,2,9.9,80%,Não,Falta de Interesse,1366,Rural,1
17,Feminino,2,9.4,95%,Não,Problemas Financeiros,2064,Rural,1
16,Masculino,2,5.8,90%,Sim,0,1228,Urbana,1
16,Masculino,1,5.2,70%,Sim,Problemas de Saúde,1312,Urbana,1
16,Masculino,3,9.3,75%,Sim,0,1913,Urbana,0
15,Feminino,3,6.8,80%,Não,Falta de Interesse,1276,Rural,1
15,Masculino,2,9.2,75%,Não,0,1176,Rural,1
18,Feminino,3,7.9,85%,Sim,Falta de Interesse,675,Urbana,1
18,Feminino,2,6.9,75%,Sim,Falta de Apoio Escolar,1622,Rural,1
17,Masculino,1,4.1,85%,Não,0,1951,Rural,1
16,Masculino,2,5.7,85%,Não,Falta de Apoio Familiar,1327,Urbana,1
16,Feminino,3,5.6,85%,Sim,Problemas Familiares,1149,Urbana,1
18,Feminino,2,6.5,75%,Sim,0,2766,Rural,0
17,Feminino,2,6.0,60%,Não,Problemas Financeiros,960,Urbana,1
17,Masculino,3,8.1,90%,Não,0,2806,Urbana,0
17,Feminino,2,9.0,60%,Não,Problemas de Saúde,1219,Rural,1
16,Feminino,2,5.4,70%,Sim,0,620,Rural,1
15,Masculino,3,6.7,60%,Não,0,720,Urbana,0
17,Feminino,2,8.7,85%,Não,Outros,2092,Rural,1
16,Masculino,2,5.2,50%,Não,0,914,Rural,1
16,Masculino,3,7.5,50%,Não,Falta de Interesse,2159,Rural,1
15,Masculino,3,5.0,50%,Sim,0,694,Urbana,1
15,Masculino,2,6.3,85%,Não,0,1875,Rural,1
15,Masculino,3,6.3,85%,Sim,Problemas de Saúde,2909,Rural,1
16,Feminino,2,5.1,80%,Não,Problemas Familiares,2260,Rural,1
17,Feminino,2,7.9,90%,Não,Falta de Apoio Familiar,2613,Urbana,1
16,Feminino,1,4.6,50%,Sim,0,1748,Rural,0
16,Feminino,1,5.1,50%,Sim,0,1679,Rural,0
18,Feminino,1,9.0,70%,Sim,Falta de Interesse,1168,Urbana,1
16,Masculino,3,4.3,90%,Sim,Falta de Apoio Familiar,2489,Rural,1
15,Masculino,1,9.0,75%,Não,0,2925,Rural,1
16,Feminino,2,6.9,75%,Sim,0,894,Rural,1
18,Feminino,3,9.2,90%,Não,Problemas Financeiros,2067,Rural,1
17,Masculino,1,8.9,75%,Não,0,1836,Urbana,1
15,Masculino,1,4.6,80%,Sim,0,2292,Urbana,1
17,Feminino,2,8.3,80%,Sim,0,1214,Rural,1
18,Masculino,2,5.3,85%,Não,Problemas Familiares,2815,Urbana,1
16,Masculino,3,9.3,50%,Não,0,1286,Urbana,1
18,Feminino,2,4.9,90%,Não,Problemas Financeiros,2653,Rural,1
15,Feminino,2,9.4,70%,Sim,0,2830,Urbana,0
16,Feminino,3,6.2,95%,Não,0,1162,Rural,0
18,Feminino,2,5.6,85%,Não,0,2187,Rural,1
17,Feminino,2,4.6,70%,Sim,0,711,Rural,1
17,Masculino,2,7.3,75%,Não,Problemas Familiares,2127,Rural,1
18,Feminino,1,8.5,60%,Não,0,1607,Urbana,0
17,Masculino,3,7.3,85%,Sim,Falta de Interesse,1930,Urbana,1
15,Masculino,3,6.3,80%,Não,Problemas Familiares,671,Urbana,1
18,Feminino,2,8.6,80%,Não,0,1617,Urbana,0
16,Feminino,1,9.6,75%,Sim,0,1116,Urbana,1
16,Masculino,1,8.4,85%,Não,Falta de Apoio Escolar,1366,Rural,1
17,Feminino,3,4.8,75%,Sim,Falta de Apoio Familiar,1769,Urbana,1
16,Masculino,3,5.0,90%,Sim,0,2344,Urbana,0
15,Masculino,3,6.9,50%,Sim,Falta de Interesse,2195,Rural,1
16,Feminino,3,9.3,85%,Sim,Falta de Apoio Familiar,1169,Rural,1
15,Feminino,3,8.7,80%,Sim,Problemas Familiares,538,Rural,1
16,Masculino,3,5.3,60%,Não,Outros,597,Urbana,1
17,Feminino,3,9.6,60%,Não,0,1565,Rural,1
17,Feminino,2,6.3,75%,Sim,0,886,Rural,1
15,Feminino,2,4.5,95%,Não,Falta de Interesse,993,Rural,1
17,Feminino,1,7.5,80%,Não,0,1058,Urbana,1
16,Masculino,2,7.4,60%,Sim,0,674,Rural,1
15,Masculino,3,7.7,60%,Sim,Problemas de Saúde,1322,Urbana,1
15,Masculino,2,7.3,75%,Sim,Falta de Apoio Escolar,1622,Urbana,1
15,Feminino,2,4.5,50%,Sim,Falta de Apoio Escolar,1371,Rural,1
15,Masculino,1,5.3,85%,Sim,0,911,Rural,0
15,Masculino,1,7.4,90%,Não,Falta de Interesse,2066,Urbana,1
17,Feminino,3,4.9,75%,Sim,0,2792,Rural,1
17,Masculino,1,5.5,90%,Sim,Problemas Financeiros,1989,Rural,1
15,Masculino,1,9.6,90%,Não,Falta de Apoio Familiar,2573,Rural,1
16,Feminino,3,7.0,85%,Não,Problemas Familiares,1907,Rural,1
17,Feminino,3,9.4,90%,Não,0,2075,Urbana,0
18,Masculino,2,9.5,95%,Sim,Falta de Interesse,2496,Rural,1
18,Feminino,3,8.5,75%,Sim,0,2930,Urbana,0
17,Masculino,3,6.0,90%,Sim,0,892,Urbana,1
17,Feminino,3,5.6,95%,Não,Falta de Apoio Escolar,894,Rural,1
16,Masculino,2,4.9,60%,Não,0,2720,Rural,1
16,Masculino,1,6.1,90%,Não,Falta de Apoio Familiar,509,Urbana,1
15,Masculino,3,7.0,75%,Sim,Falta de Apoio Familiar,2291,Urbana,1
17,Feminino,1,7.0,75%,Sim,0,2242,Urbana,1
16,Feminino,2,5.1,75%,Sim,0,1346,Rural,1
17,Masculino,3,9.2,70%,Sim,0,2038,Urbana,1
18,Masculino,3,5.3,80%,Sim,0,608,Rural,0
17,Masculino,1,4.5,70%,Sim,Problemas de Saúde,2256,Rural,1
15,Masculino,2,8.8,50%,Não,Problemas de Saúde,2618,Urbana,1
17,Feminino,2,7.3,70%,Não,0,2110,Rural,1
17,Masculino,2,6.4,60%,Sim,Problemas de Saúde,2511,Urbana,1
16,Feminino,3,8.8,95%,Sim,Outros,1629,Urbana,1
16,Feminino,2,5.5,75%,Não,0,563,Rural,1
17,Masculino,2,7.2,80%,Não,0,2092,Rural,1
15,Masculino,2,9.5,60%,Não,0,2056,Rural,1
15,Masculino,1,9.1,80%,Não,0,1409,Rural,1
15,Masculino,2,9.2,85%,Sim,0,2781,Rural,0
16,Feminino,3,9.8,85%,Sim,0,2374,Urbana,1
15,Feminino,3,6.4,50%,Sim,Problemas Familiares,2767,Urbana,1
17,Masculino,1,6.4,95%,Sim,Problemas Financeiros,718,Urbana,1
18,Feminino,3,4.0,70%,Sim,Falta de Apoio Escolar,1043,Rural,1
18,Feminino,2,8.5,50%,Sim,0,2363,Rural,1
15,Masculino,3,8.7,95%,Sim,0,1366,Urbana,0
17,Masculino,2,6.1,90%,Não,Falta de Apoio Escolar,2338,Rural,1
18,Masculino,2,4.2,60%,Sim,0,2695,Urbana,0
17,Feminino,3,5.0,60%,Sim,Outros,997,Rural,1
17,Masculino,3,7.9,75%,Sim,Falta de Apoio Escolar,792,Rural,1
17,Feminino,1,5.1,50%,Não,Falta de Interesse,2450,Rural,1
15,Masculino,2,5.8,60%,Sim,0,2786,Urbana,1
15,Feminino,1,9.5,95%,Não,Falta de Apoio Escolar,2625,Urbana,1
18,Masculino,3,5.6,85%,Sim,Outros,2790,Urbana,1
16,Feminino,1,8.1,85%,Sim,Falta de Interesse,2185,Urbana,1
15,Feminino,3,5.5,70%,Não,Problemas Familiares,2810,Urbana,1
16,Feminino,2,8.2,75%,Sim,0,1648,Urbana,1
15,Feminino,3,6.5,90%,Sim,0,664,Urbana,1
16,Masculino,1,4.7,75%,Sim,0,1234,Urbana,0
16,Feminino,2,7.3,80%,Sim,0,853,Urbana,1
18,Masculino,2,4.3,85%,Sim,0,2429,Urbana,1
16,Masculino,1,5.7,75%,Sim,0,2625,Urbana,1
